Trip_ID	LengthInFeet	DurationInSeconds	TotalAverageSpeed
18133540_2008-05-18 13:10:13.000:	695.51	402	1.73012
18133642_2008-05-18 13:21:26.000:	1572.08	1348	1.16623
18133601_2008-05-18 13:34:32.000:	1220.65	934	1.30691
18133142_2008-05-18 13:36:48.000:	1358.06	856	1.58651
18133438_2008-05-18 13:40:01.000:	1490.85	916	1.62756
18133638_2008-05-18 13:40:50.000:	1996.6	1166	1.71235
18133625_2008-05-18 13:42:21.000:	2425.97	1446	1.67771
18133555_2008-05-18 13:44:30.000:	3724.66	2665	1.39762
18133410_2008-05-18 13:57:41.000:	1245.06	728	1.71025
18133641_2008-05-18 14:00:51.000:	1730.84	1040	1.66427
18133165_2008-05-18 14:01:39.000:	1757.05	1127	1.55905
18133642_2008-05-18 14:03:28.000:	953.835	542	1.75984
18134009_2008-05-18 14:03:38.000:	2306.15	1691	1.36378
18133754_2008-05-18 14:11:42.000:	2046.22	1205	1.69811
18133635_2008-05-18 14:14:10.000:	1895.37	1000	1.89537
18133638_2008-05-18 14:14:31.000:	1387.1	721	1.92386
18133169_2008-05-18 14:20:12.000:	1713.12	594	2.88405
18133760_2008-05-18 14:20:37.000:	932.58	448	2.08165
18133140_2008-05-18 14:20:52.000:	2067.36	1605	1.28807
